"","metric_group","metric_group_group","folder","score_type_rich","source","data_focus","N","score","sd","se","ci"
"87","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","madrid_1_in","All",2,1,0,0,0
"88","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","madrid_1_in","Worst 5%",1,1,NA,NA,NA
"89","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","madrid_2_in","All",3,1,0,0,0
"90","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","madrid_2_in","Worst 5%",1,1,NA,NA,NA
"91","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","malaga","All",10,1,0,0,0
"92","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","malaga","Worst 5%",1,1,NA,NA,NA
"93","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","market","All",24,1,0,0,0
"94","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","market","Worst 5%",2,1,0,0,0
"95","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","milan","All",8,1,0,0,0
"96","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","milan","Worst 5%",1,1,NA,NA,NA
"97","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","nantes","All",8,1,0,0,0
"98","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","nantes","Worst 5%",1,1,NA,NA,NA
"99","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","naples","All",6,1,0,0,0
"100","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","naples","Worst 5%",1,1,NA,NA,NA
"101","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","naples_1_in","All",4,1,0,0,0
"102","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","naples_1_in","Worst 5%",1,1,NA,NA,NA
"103","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","naples_2_in","All",2,1,0,0,0
"104","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","naples_2_in","Worst 5%",1,1,NA,NA,NA
"105","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","orvault","All",4,1,0,0,0
"106","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","orvault","Worst 5%",1,1,NA,NA,NA
"107","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","orvault_in","All",3,0.999988774707553,7.97047003536087e-07,4.60175302048345e-07,1.97997451952159e-06
"108","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","orvault_in","Worst 5%",1,0.999987910294384,NA,NA,NA
"109","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","palermo","All",8,1,0,0,0
"110","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","palermo","Worst 5%",1,1,NA,NA,NA
"111","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","paris","All",35,0.999985124030188,3.90729905169245e-05,6.60454083606914e-06,1.34220418506662e-05
"112","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","paris","Worst 5%",2,0.999868956201352,5.38058700350595e-05,3.80464955694326e-05,0.000483426562199174
"113","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","perth","All",10,0.999989272688264,3.3922738255406e-05,1.0727311735681e-05,2.426686508044e-05
"114","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","perth","Worst 5%",1,0.999892726882643,NA,NA,NA
"115","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","rennes","All",7,1,0,0,0
"116","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","rennes","Worst 5%",1,1,NA,NA,NA
"117","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","rome","All",35,0.999995956039311,1.67618319829045e-05,2.83326672347925e-06,5.75789074222331e-06
"118","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","rome","Worst 5%",2,0.999929230687938,1.04111459911745e-05,7.36179193028264e-06,9.35404354912899e-05
"119","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","seville","All",5,1,0,0,0
"120","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","seville","Worst 5%",1,1,NA,NA,NA
"121","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","seville_in","All",4,0.999994140462575,6.7932042709491e-06,3.39660213547455e-06,1.08095039165597e-05
"122","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","seville_in","Worst 5%",1,0.999987537232518,NA,NA,NA
"123","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","st_andrews","All",5,1,0,0,0
"124","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","st_andrews","Worst 5%",1,1,NA,NA,NA
"125","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","st_greg","All",3,1,0,0,0
"126","edge_ward","small","metrics_equal_linear_pricing_big2.env.scenario_1-edge_ward_valuation_rates_no-telemetry_2023-07-31-17-57","$apdex$
High load High latency","st_greg","Worst 5%",1,1,NA,NA,NA
